node_id,degree,clustering,betweenness,pagerank,eigenvector,pagerank_rank,DB_labels,chromosome,start,end,read_count,bases_covered,bin_size,coverage_fraction,total_genes,total_genes_length
0,53.0,0.3026124818577649,0.0019168507223716828,0.003457567321720232,0.051434917674842456,186,2,NC_000007.14,54765000,54770000,160,3880,5000,0.776,0,0
1,71.0,0.29859154929577464,0.00355866038858367,0.004432943802520842,0.06789494200991733,61,2,NC_000007.14,54770000,54775000,181,3463,5000,0.6926,0,0
2,62.0,0.2924378635642517,0.0028986922771468385,0.003961501457296367,0.057450173822294476,112,2,NC_000007.14,54775000,54780000,158,3270,5000,0.654,0,0
3,46.0,0.28019323671497587,0.0016021759101750455,0.0030986810103492417,0.04195912876038865,217,1,NC_000007.14,54780000,54785000,171,3304,5000,0.6608,0,0
4,62.0,0.28397673188789,0.0029831485036637237,0.003968835146020932,0.0571203306905566,110,2,NC_000007.14,54785000,54790000,272,5000,5000,1.0,0,0
5,59.0,0.3015780245470485,0.0024110969168842657,0.0037865058723584523,0.05681819117336138,143,2,NC_000007.14,54790000,54795000,299,5000,5000,1.0,0,0
6,44.0,0.2854122621564482,0.0012790361894466308,0.002962285848624214,0.04339457026272712,229,1,NC_000007.14,54795000,54800000,56,5000,5000,1.0,0,0
7,51.0,0.24549019607843137,0.002069782913536403,0.0033678588823525795,0.04695692862063531,193,2,NC_000007.14,54800000,54805000,13,4751,5000,0.9502,1,45656
8,61.0,0.25956284153005466,0.0026526073385205813,0.0038840156800549765,0.05899419258195667,123,2,NC_000007.14,54805000,54810000,70,3558,5000,0.7116,1,5690
9,54.0,0.23973063973063974,0.00240224739258875,0.0035795680282876773,0.05131163189886962,173,1,NC_000007.14,54810000,54815000,28,2320,5000,0.464,1,5690
10,82.0,0.2601626016260163,0.005156349926466663,0.005034555787925348,0.07824152889295806,31,2,NC_000007.14,54815000,54820000,17,685,5000,0.137,0,0
11,69.0,0.25404944586530265,0.0039631873743972605,0.004350871668297188,0.06414912447563212,71,1,NC_000007.14,54820000,54825000,11,504,5000,0.1008,0,0
12,80.0,0.24873417721518987,0.005522230196109668,0.004949163353185418,0.07365613312121222,35,2,NC_000007.14,54825000,54830000,3,103,5000,0.0206,0,0
