node_id,degree,clustering,betweenness,pagerank,eigenvector,DB_labels,pagerank_rank,chromosome,start,end,read_count,bases_covered,bin_size,coverage_fraction,total_genes,total_genes_length
0,135.0,0.5357656163626313,0.0022355607767252242,0.004239274353837714,0.0669270378042487,0,90,NC_000007.14,54765000,54770000,7,319,5000,0.0638,0,0
1,132.0,0.5009252833680314,0.0024846250620782105,0.004176413310916391,0.06343940490038341,0,101,NC_000007.14,54770000,54775000,4,201,5000,0.0402,0,0
2,127.0,0.5056867891513561,0.0022619148024687207,0.004041483456643654,0.06117057986568262,0,128,NC_000007.14,54775000,54780000,20,555,5000,0.111,0,0
3,93.0,0.5142589995324918,0.0011806791809879072,0.0031195964876059978,0.04485685141300501,0,234,NC_000007.14,54780000,54785000,20,853,5000,0.1706,0,0
4,99.0,0.5075242218099361,0.001454162479508777,0.0032996633660102763,0.04595779292189585,-1,223,NC_000007.14,54785000,54790000,7,353,5000,0.0706,0,0
5,84.0,0.5283993115318416,0.0009744481035703402,0.0028909312128352275,0.039069138031458985,-1,246,NC_000007.14,54790000,54795000,21,940,5000,0.188,0,0
6,78.0,0.5567765567765568,0.0007352456648350731,0.0027107834597728327,0.03830676305118122,-1,250,NC_000007.14,54795000,54800000,6,300,5000,0.06,0,0
7,74.0,0.5646879756468798,0.00060303745803866,0.0025987194741530677,0.036722016333316065,-1,251,NC_000007.14,54800000,54805000,7,241,5000,0.0482,1,45656
8,88.0,0.5415360501567398,0.0009558356165505906,0.002975362403978339,0.04360943748809969,-1,241,NC_000007.14,54805000,54810000,39,636,5000,0.1272,1,5690
9,85.0,0.5324153757888698,0.0008786959859714382,0.0028962207536592645,0.041724632842496355,0,245,NC_000007.14,54810000,54815000,10,334,5000,0.0668,1,5690
10,113.0,0.5058470290771175,0.00179199384535456,0.0036606384668290428,0.05474923278466619,0,179,NC_000007.14,54815000,54820000,11,503,5000,0.1006,0,0
11,121.0,0.4960055096418733,0.0021169051250711363,0.0038801062908299633,0.05820208468138393,0,153,NC_000007.14,54820000,54825000,8,354,5000,0.0708,0,0
12,119.0,0.5154536390827518,0.0018610054264880877,0.003811602865691353,0.05871942949541983,0,158,NC_000007.14,54825000,54830000,5,251,5000,0.0502,0,0
13,101.0,0.5136633663366337,0.0013994116914172413,0.0033360661277054018,0.04896629661585917,0,218,NC_000007.14,54830000,54835000,3,150,5000,0.03,0,0
14,79.0,0.5283998701720221,0.0008367045538229587,0.0027443235890444633,0.03790253243331554,0,249,NC_000007.14,54835000,54840000,8,289,5000,0.0578,0,0
