,chromosome,source,feature_type,start,end,score,strand,phase,attributes
1731171,NC_000007.14,Gnomon,gene,13605,16154,.,-,.,ID=gene-LOC102723872;Dbxref=GeneID:102723872;Name=LOC102723872;description=uncharacterized LOC102723872;gbkey=Gene;gene=LOC102723872;gene_biotype=lncRNA
1731181,NC_000007.14,Gnomon,gene,31570,36997,.,-,.,ID=gene-LOC105375112;Dbxref=GeneID:105375112;Name=LOC105375112;description=putative protein FAM157B;gbkey=Gene;gene=LOC105375112;gene_biotype=protein_coding
1731205,NC_000007.14,BestRefSeq,gene,70417,95612,.,-,.,ID=gene-LOC105375113;Dbxref=GeneID:105375113;Name=LOC105375113;description=uncharacterized LOC105375113;gbkey=Gene;gene=LOC105375113;gene_biotype=lncRNA
1731219,NC_000007.14,BestRefSeq,gene,76966,83349,.,+,.,ID=gene-LOC101929756;Dbxref=GeneID:101929756;Name=LOC101929756;description=uncharacterized LOC101929756;gbkey=Gene;gene=LOC101929756;gene_biotype=lncRNA
1731242,NC_000007.14,Gnomon,gene,112656,119431,.,-,.,ID=gene-LOC105375114;Dbxref=GeneID:105375114;Name=LOC105375114;description=uncharacterized LOC105375114;gbkey=Gene;gene=LOC105375114;gene_biotype=lncRNA
1731255,NC_000007.14,BestRefSeq,gene,144444,149438,.,-,.,"ID=gene-LINC03015;Dbxref=GeneID:102723672,HGNC:HGNC:56143;Name=LINC03015;description=long intergenic non-protein coding RNA 3015;gbkey=Gene;gene=LINC03015;gene_biotype=lncRNA"
1731262,NC_000007.14,BestRefSeq,gene,149718,155465,.,+,.,"ID=gene-LINC03014;Dbxref=GeneID:100507642,HGNC:HGNC:56142;Name=LINC03014;description=long intergenic non-protein coding RNA 3014;gbkey=Gene;gene=LINC03014;gene_biotype=lncRNA"
1731272,NC_000007.14,Gnomon,gene,173171,180726,.,+,.,ID=gene-LOC105375116;Dbxref=GeneID:105375116;Name=LOC105375116;description=TRIO and F-actin-binding protein-like;gbkey=Gene;gene=LOC105375116;gene_biotype=protein_coding
1731280,NC_000007.14,BestRefSeq,gene,174920,176013,.,+,.,ID=gene-LOC105375115;Dbxref=GeneID:105375115;Name=LOC105375115;description=uncharacterized LOC105375115;gbkey=Gene;gene=LOC105375115;gene_biotype=lncRNA
1731285,NC_000007.14,Gnomon,gene,180761,182333,.,-,.,ID=gene-LOC124901806;Dbxref=GeneID:124901806;Name=LOC124901806;description=uncharacterized LOC124901806;gbkey=Gene;gene=LOC124901806;gene_biotype=lncRNA
1731289,NC_000007.14,Gnomon,gene,186258,190118,.,-,.,ID=gene-LOC124901808;Dbxref=GeneID:124901808;Name=LOC124901808;description=uncharacterized LOC124901808;gbkey=Gene;gene=LOC124901808;gene_biotype=lncRNA
1731295,NC_000007.14,BestRefSeq%2CGnomon,gene,192571,260772,.,+,.,"ID=gene-FAM20C;Dbxref=GeneID:56975,HGNC:HGNC:22140,MIM:611061;Name=FAM20C;description=FAM20C golgi associated secretory pathway kinase;gbkey=Gene;gene=FAM20C;gene_biotype=protein_coding;gene_synonym=DMP-4,DMP4,G-CK,GEF-CK,RNS"
