,chromosome,start,end,read_count,bases_covered,bin_size,coverage_fraction,total_genes,total_genes_length
257669,NC_000007.14,54765000,54770000,7,319,5000,0.0638,0,0
257670,NC_000007.14,54770000,54775000,4,201,5000,0.0402,0,0
257671,NC_000007.14,54775000,54780000,20,555,5000,0.111,0,0
257672,NC_000007.14,54780000,54785000,20,853,5000,0.1706,0,0
257673,NC_000007.14,54785000,54790000,7,353,5000,0.0706,0,0
257674,NC_000007.14,54790000,54795000,21,940,5000,0.188,0,0
257675,NC_000007.14,54795000,54800000,6,300,5000,0.06,0,0
257676,NC_000007.14,54800000,54805000,7,241,5000,0.0482,1,45656
257677,NC_000007.14,54805000,54810000,39,636,5000,0.1272,1,5690
257678,NC_000007.14,54810000,54815000,10,334,5000,0.0668,1,5690
257679,NC_000007.14,54815000,54820000,11,503,5000,0.1006,0,0
257680,NC_000007.14,54820000,54825000,8,354,5000,0.0708,0,0
257681,NC_000007.14,54825000,54830000,5,251,5000,0.0502,0,0
257682,NC_000007.14,54830000,54835000,3,150,5000,0.03,0,0
257683,NC_000007.14,54835000,54840000,8,289,5000,0.0578,0,0
257684,NC_000007.14,54840000,54845000,7,213,5000,0.0426,0,0
257685,NC_000007.14,54845000,54850000,1,49,5000,0.0098,0,0
257686,NC_000007.14,54850000,54855000,6,255,5000,0.051,0,0
257687,NC_000007.14,54855000,54860000,9,351,5000,0.0702,0,0
257688,NC_000007.14,54860000,54865000,7,317,5000,0.0634,0,0
257689,NC_000007.14,54865000,54870000,8,403,5000,0.0806,0,0
257690,NC_000007.14,54870000,54875000,9,393,5000,0.0786,0,0
257691,NC_000007.14,54875000,54880000,17,723,5000,0.1446,0,0
257692,NC_000007.14,54880000,54885000,37,1394,5000,0.2788,0,0
257693,NC_000007.14,54885000,54890000,70,3333,5000,0.6666,0,0
257694,NC_000007.14,54890000,54895000,8,405,5000,0.081,0,0
257695,NC_000007.14,54895000,54900000,4,198,5000,0.0396,0,0
257696,NC_000007.14,54900000,54905000,11,386,5000,0.0772,0,0
257697,NC_000007.14,54905000,54910000,18,712,5000,0.1424,0,0
257698,NC_000007.14,54910000,54915000,10,1955,5000,0.391,0,0
257699,NC_000007.14,54915000,54920000,7,331,5000,0.0662,0,0
257700,NC_000007.14,54920000,54925000,6,303,5000,0.0606,0,0
257701,NC_000007.14,54925000,54930000,1,51,5000,0.0102,0,0
257702,NC_000007.14,54930000,54935000,163,571,5000,0.1142,0,0
257703,NC_000007.14,54935000,54940000,817,1808,5000,0.3616,0,0
257704,NC_000007.14,54940000,54945000,1,51,5000,0.0102,0,0
257705,NC_000007.14,54945000,54950000,5,251,5000,0.0502,0,0
257706,NC_000007.14,54950000,54955000,2,102,5000,0.0204,0,0
257707,NC_000007.14,54955000,54960000,6,202,5000,0.0404,0,0
257708,NC_000007.14,54960000,54965000,5,151,5000,0.0302,0,0
257709,NC_000007.14,54965000,54970000,3,102,5000,0.0204,0,0
257710,NC_000007.14,54970000,54975000,0,0,5000,0.0,0,0
257711,NC_000007.14,54975000,54980000,2,100,5000,0.02,0,0
257712,NC_000007.14,54980000,54985000,5,252,5000,0.0504,0,0
257713,NC_000007.14,54985000,54990000,3,151,5000,0.0302,0,0
257714,NC_000007.14,54990000,54995000,29,1427,5000,0.2854,1,26503
257715,NC_000007.14,54995000,55000000,41,1535,5000,0.307,0,0
257716,NC_000007.14,55000000,55005000,38,1426,5000,0.2852,0,0
257717,NC_000007.14,55005000,55010000,43,1204,5000,0.2408,0,0
257718,NC_000007.14,55010000,55015000,98,2708,5000,0.5416,0,0
257719,NC_000007.14,55015000,55020000,185,2982,5000,0.5964,2,219114
257720,NC_000007.14,55020000,55025000,696,5000,5000,1.0,0,0
257721,NC_000007.14,55025000,55030000,262,5000,5000,1.0,0,0
257722,NC_000007.14,55030000,55035000,266,5000,5000,1.0,0,0
257723,NC_000007.14,55035000,55040000,224,5000,5000,1.0,0,0
257724,NC_000007.14,55040000,55045000,367,5000,5000,1.0,0,0
257725,NC_000007.14,55045000,55050000,216,5000,5000,1.0,0,0
257726,NC_000007.14,55050000,55055000,239,5000,5000,1.0,0,0
257727,NC_000007.14,55055000,55060000,213,5000,5000,1.0,0,0
257728,NC_000007.14,55060000,55065000,172,5000,5000,1.0,0,0
257729,NC_000007.14,55065000,55070000,240,5000,5000,1.0,0,0
257730,NC_000007.14,55070000,55075000,137,5000,5000,1.0,0,0
257731,NC_000007.14,55075000,55080000,202,5000,5000,1.0,0,0
257732,NC_000007.14,55080000,55085000,181,5000,5000,1.0,0,0
257733,NC_000007.14,55085000,55090000,123,5000,5000,1.0,0,0
257734,NC_000007.14,55090000,55095000,132,5000,5000,1.0,0,0
257735,NC_000007.14,55095000,55100000,150,5000,5000,1.0,0,0
257736,NC_000007.14,55100000,55105000,195,5000,5000,1.0,0,0
257737,NC_000007.14,55105000,55110000,348,5000,5000,1.0,0,0
257738,NC_000007.14,55110000,55115000,1159,5000,5000,1.0,0,0
257739,NC_000007.14,55115000,55120000,1027,5000,5000,1.0,0,0
257740,NC_000007.14,55120000,55125000,2047,5000,5000,1.0,0,0
257747,NC_000007.14,55155000,55160000,11746,5000,5000,1.0,0,0
257748,NC_000007.14,55160000,55165000,11594,5000,5000,1.0,0,0
257749,NC_000007.14,55165000,55170000,7722,5000,5000,1.0,0,0
257750,NC_000007.14,55170000,55175000,8403,5000,5000,1.0,0,0
257751,NC_000007.14,55175000,55180000,1021,5000,5000,1.0,1,9199
257752,NC_000007.14,55180000,55185000,6203,5000,5000,1.0,0,0
257753,NC_000007.14,55185000,55190000,2133,5000,5000,1.0,1,9199
257754,NC_000007.14,55190000,55195000,6852,5000,5000,1.0,0,0
257755,NC_000007.14,55195000,55200000,5004,5000,5000,1.0,0,0
257756,NC_000007.14,55200000,55205000,17526,5000,5000,1.0,0,0
257757,NC_000007.14,55205000,55210000,149982,5000,5000,1.0,0,0
257758,NC_000007.14,55210000,55215000,44676,5000,5000,1.0,1,192611
257759,NC_000007.14,55215000,55220000,125,5000,5000,1.0,0,0
257760,NC_000007.14,55220000,55225000,31,5000,5000,1.0,0,0
257761,NC_000007.14,55225000,55230000,16,5000,5000,1.0,0,0
257762,NC_000007.14,55230000,55235000,27,5000,5000,1.0,0,0
257763,NC_000007.14,55235000,55240000,78,5000,5000,1.0,1,17199
257764,NC_000007.14,55240000,55245000,36,5000,5000,1.0,0,0
257765,NC_000007.14,55245000,55250000,67,5000,5000,1.0,0,0
257766,NC_000007.14,55250000,55255000,160,5000,5000,1.0,0,0
257767,NC_000007.14,55255000,55260000,819,5000,5000,1.0,1,17199
257768,NC_000007.14,55260000,55265000,11,5000,5000,1.0,0,0
257769,NC_000007.14,55265000,55270000,11,5000,5000,1.0,0,0
257770,NC_000007.14,55270000,55275000,7,5000,5000,1.0,0,0
257771,NC_000007.14,55275000,55280000,3,5000,5000,1.0,0,0
257772,NC_000007.14,55280000,55285000,12,5000,5000,1.0,0,0
257773,NC_000007.14,55285000,55290000,15,5000,5000,1.0,0,0
257774,NC_000007.14,55290000,55295000,16,5000,5000,1.0,0,0
257775,NC_000007.14,55295000,55300000,3,5000,5000,1.0,0,0
257776,NC_000007.14,55300000,55305000,3,5000,5000,1.0,0,0
257777,NC_000007.14,55305000,55310000,4,5000,5000,1.0,0,0
